Elapsed Time (ms),Skydel SV ID,Slot,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
10000,22,22,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,23,23,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
10000,24,24,388810.000,2279,5,12,65699555 55969A5A A9999955 A5A9AA6A A9A9A6AA 5A7E3750 96000000,No
12000,1,1,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,2,2,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,3,3,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,4,4,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,5,5,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,6,6,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,7,7,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,8,8,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,9,9,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,10,10,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,11,11,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,12,12,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,13,13,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,14,14,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,15,15,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,16,16,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,17,17,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,18,18,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,19,19,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,20,20,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,21,21,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,22,22,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,23,23,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
12000,24,24,388812.000,2279,5,13,659A6996 66A69656 A695996A 5999A665 AA9AA565 AA7E3750 96000000,No
14000,1,1,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,2,2,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,3,3,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,4,4,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,5,5,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,6,6,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,7,7,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,8,8,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,9,9,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,10,10,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,11,11,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,12,12,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,13,13,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,14,14,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,15,15,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,16,16,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,17,17,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,18,18,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,19,19,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,20,20,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,21,21,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,22,22,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,23,23,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
14000,24,24,388814.000,2279,5,14,66AAAAAA AAAAAAAA AAAAAAAA AAAAAAAA AAAAAA9A 557E3750 96000000,No
16000,1,1,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,2,2,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,3,3,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,4,4,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,5,5,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,6,6,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,7,7,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,8,8,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,9,9,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,10,10,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,11,11,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,12,12,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,13,13,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,14,14,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,15,15,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,16,16,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,17,17,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,18,18,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,19,19,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,20,20,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,21,21,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,22,22,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,23,23,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
16000,24,24,388816.000,2279,5,15,66555555 55555555 55555555 55555555 55555555 557E3750 96000000,No
18000,1,1,388818.000,2279,1,1,55AA5995 556AAA9A 5A9A9A55 5A9659A9 556A5A96 657E3750 96000000,No
18000,2,2,388818.000,2279,1,1,55AA5995 556A9A6A 59556955 5559A659 AA9965AA A97E3750 96000000,No
18000,3,3,388818.000,2279,1,1,55AA5995 556A55A6 69AA6A55 55A656A6 A9695655 597E3750 96000000,No
18000,4,4,388818.000,2279,1,1,55AA5995 556A9A95 59AA96AA AA6A6A55 66A59A69 AA7E3750 96000000,No
18000,5,5,388818.000,2279,1,1,55AA5995 556AAAA5 A59A9655 55669566 A66A566A 997E3750 96000000,No
18000,6,6,388818.000,2279,1,1,55AA5995 55556569 55699555 5A96AA99 99995669 567E3750 96000000,No
18000,7,7,388818.000,2279,1,1,55AA5995 5555AA59 96966AAA A5A65996 99A655AA A57E3750 96000000,No
18000,8,8,388818.000,2279,1,1,55AA5995 55556999 66A655AA A595A5A9 59A5AA6A A57E3750 96000000,No
18000,9,9,388818.000,2279,1,1,55AA5995 555555A5 65569555 5A66655A 9A659656 AA7E3750 96000000,No
18000,10,10,388818.000,2279,1,1,55AA5995 556A5AA5 96959555 595AA96A 55A69569 997E3750 96000000,No
18000,11,11,388818.000,2279,1,1,55AA5995 55695566 AAA6A6AA A5A5AAA9 A9A65A6A 567E3750 96000000,No
18000,12,12,388818.000,2279,1,1,55AA5995 556A5996 59A96555 556AA555 6AA55555 657E3750 96000000,No
18000,13,13,388818.000,2279,1,1,55AA5995 556AA996 66659AAA AA659559 995A65A9 997E3750 96000000,No
